title,ingredients,directions,NER
Diet Iced Tea,"[""3 family-size tea bags"", ""14 (1 g) packages sugar substitute (Splenda)"", ""1 (1 7/8 g) container lemonade (Crystal Light)""]","[""Steep teabags in boiling water for 20 minutes. Add Splenda & Crystal Light & stir well. Fill pitcher with water & stir. After tea is cool, refrigerate.""]","[""sugar substitute""]"
Kid Friendly Khushaaf (No Sugar),"[""1 1/2 cups pineapple juice or 1 cup orange juice"", ""1 1/2 cups dried raisins or 1 1/2 cups your favorite dried fruit""]","[""Place ingredients in a tall container and allow to sit for a day or overnight.""]","[""pineapple juice"", ""raisins""]"
Ginger Honey,"[""1 cup honey"", ""1/3 tablespoon dried ginger (1 tablespoon fresh or 1 tablespoon candied with sugar washed off)""]","[""Place honey in a double boiler with hot water in bottom. Add ginger to honey."", ""Bring water to a boil, and bring honey to 185\u00b0F and keep at 185\u00b0F for 10 minutes. Remove from heat and let stand for 10 minutes. Strain while still warm. Place in sterilized jars and cap.""]","[""honey"", ""ginger""]"
Grilled Beer Corn,"[""4 ears corn"", ""2 (12 ounce) cans beer""]","[""Shuck corn, removing husks& silks."", ""Wash Corn."", ""Place corn in a dish and pour beer over to cover (may also use a large baggie) Set in fridge for at least 6-8 hours, overnight is best."", ""Drain corn and place on a hot grill, turning frequently till done, about 5 minutes."", ""If you would rather do this in a smoker, Preheat smoker to 250\u00b0F."", ""Place corn on racks, and stack racks in smoker."", ""Cook for 1 to 2 hours, turning every 20 minutes or so."", ""Either way, kernels should give easily under pressure when done.""]","[""corn"", ""beer""]"
Yogurt Dots,"[""yogurt, your favorite flavor (smooth)"", ""yogurt, your favorite flavor (smooth)""]","[""Food.com requires 2 ingredients, thus the yogurt repeat."", ""Put the yogurt in a plastic bag and snip the corner OR put it in a pastry bag with a small nozzle."", ""Squirt little dots on silpat or parchment paper lined pan."", ""Freeze til solid, about 60 minutes."", ""Put in a freezer safe plastic bag or container."", ""Viola! You have a healthy snack ready any time."", ""Freeze time not included, since you don't have to do anything.""]","[""yogurt"", ""yogurt""]"
Peanut Butter And Banana Frozen Dog Treat,"[""2 over ripe bananas"", ""1 cup Greek yogurt"", ""1/2 cup peanut butter""]","[""In a bowl, mash bananas until completely smooth. Mix in remaining ingredients, and stir until well incorporated."", ""Pour mixture into ice cube molds, or small dixie cups and freeze overnight. Store in an air tight container, in freezer."", ""Notes."", ""Microwave peanut butter briefly, to make it easier to work with.""]","[""bananas"", ""Greek yogurt"", ""peanut butter""]"
Sugar Strawberries,"[""1 quart strawberry"", ""1 1/2 sugar""]","[""Cut strawberries in half and place in a bowl."", ""Pour the sugar on top of the strawberries."", ""Refrigerate for about one hour or until juicy.""]","[""strawberry"", ""sugar""]"
Hershey'S Bar Frosting,"[""1 (8 ounce) container Cool Whip, thawed"", ""9 ounces Hershey Bars or 9 ounces hershey chocolate bars with almonds""]","[""Melt Hershey bars."", ""Fold some of the cool whip into the melted chocolate to cool the mixture."", ""Mix the rest of the cool whip into the chocolate mixture. Whip with a whisk."", ""Spread over cooled cake or pour into a graham cracker crust.""]","[""chocolate""]"
Frozen Bananas,"[""4 ripe bananas, peeled"", ""1 resealable ziploc bag (freezerable)""]","[""Place bananas so they are not touching on a plate and freeze for one hour. (This will prevent the bananas from sticking together.)."", ""Transfer to a resealable freezer bag, pressing out as much air as possible before sealing the bag, and return bananas to freezer."", ""Frozen bananas will keep for up to one month.""]","[""bananas""]"
Quince Jelly With Apple And Aloe Vera,"[""1 kg quinces"", ""1 kg apple"", ""1 1/2 kg sugar""]","[""To make this quince jelly you just need 4 ingredients, 1 kg of quince, 1 kg of apple, 1 dl of a sweet Aloe Vera drink, and 1,5 kg of sugar. Using a sweet Aloe Vera Drink is quicker than having to prepare the Aloe Vera."", ""Peal the quinces and the apples and take out their seeds. Cut them into small pieces."", ""Put the quinces, apples, the sweet Aloe Vera drink and the sugar in a pan. Stir the pan and simmer it for about 1 hour. Blend everything with an hand blender until the mixture looks like a puree."", ""Stir it again and let the puree simmer for 10 minutes. After those 10 minutes put a little bit of that jelly in a plate. Draw a road in the middle of the jelly with a spoon and see if that road stays like that. If it doesn`t stay like that continue to stir the puree. When it stays like that your quince jelly with apple and Aloe Vera is ready to put in a sterilized bowl."", ""Put a vegetable paper on top of the quince jelly with apple and Aloe Vera. Let it cool, and then you may eat it!"", ""It is really tasty!""]","[""apple"", ""sugar""]"
Easy Chocolate Dipped Marshmallows,"[""12 marshmallows"", ""2 ounces semisweet chocolate, melted"", ""3 tablespoons ice cream topping (such as chopped pistachios, shredded coconut, and crumbled graham crackers also Mini m&ms, sprinkles)""]","[""Melt chocolate one of two ways (see below)."", ""Dip half of each marshmallow in the melted chocolate, letting the excess drip off."", ""Then sprinkle with your desired toppings."", ""Serve immediately or chill until firm, about 20 minutes."", ""*************** To melt chocolate*************."", ""Melt chocolate in top of a double boiler or a heat proof bowl set over (not in) a saucepan of simmering water. Cook, stirring occasionally until melted, 2-3 minutes."", ""-or-."", ""Place chocolate chopped up in microwave safe bowl and microwave in 30 sec intervals stirring between each, until melted.""]","[""marshmallows"", ""chocolate"", ""pistachios""]"
Strawberry Peach Smoothie,"[""1 banana, peeled"", ""1 cup strawberry, hulled"", ""1 cup peach, sliced"", ""1 cup orange juice"", ""1 tablespoon honey"", ""1 cup ice, crushed""]","[""Add fruit, juice and honey in a blender."", ""Blend on low speed to mix."", ""Stir in ice."", ""Blend on high until smooth.""]","[""banana"", ""strawberry"", ""peach"", ""orange juice"", ""honey""]"
Chocolate Peanut Butter Oatmeal,"[""1/2 cup oatmeal"", ""3 -4 tablespoons creamy peanut butter"", ""3 -4 tablespoons semi-sweet chocolate chips"", ""1/2 - 2/3 cup milk""]","[""In microwaveable bowl, put oatmeal, peanut butter and milk. Microwave on high for 1 1/2 minutes. (1 min 44 seconds for old fashioned oats.)."", ""Add chocolate chips. Stir until melted."", ""Microwave another 1 1/2 minutes. (1 minute 44 sec. for old fashioned oats.)."", ""Stir. Let stand until desired consistency.""]","[""oatmeal"", ""milk""]"
Turtle Pretzel Candy,"[""36 small pretzels"", ""36 chocolate-covered caramel candies, such as Rolos"", ""36 pecan halves, roasted""]","[""Preheat oven to 250 degrees."", ""Place parchment paper on a cookie sheet."", ""Spread out pretzels in a single layer."", ""Top each pretzel with a piece of caramel candy."", ""Bake for 6 to 7 minutes, just until the candy starts to melt."", ""Pull pretzels from the oven and top each with a pecan half."", ""Let cool.""]","[""pretzels"", ""chocolate"", ""pecan""]"
Strawberry Banana Smoothie,"[""1 cup strawberry"", ""1 large banana"", ""1 cup milk"", ""1 1 teaspoon sugar or 1 teaspoon honey"", ""1/4 cup ice cube""]","[""place all ingredients in the blender."", ""AND BLEND THEMMMM.""]","[""strawberry"", ""banana"", ""milk"", ""sugar""]"
Sweetened Condensed Milk Substitute,"[""1 cup evaporated milk"", ""1 1/4 cups sugar""]","[""Combine ingredients in a saucepan."", ""Stir over medium heat until sugar is dissolved; cool."", ""May be refrigerated for several days.""]","[""milk"", ""sugar""]"
Laser Beam,"[""1 ounce Amaretto (I like Amaretto di Saronno)"", ""1 ounce peach schnapps"", ""4 ounces orange juice"", ""ice (as needed)""]","[""Stir together amaretto, schnapps, and orange juice and pour over ice."", ""Garnish drink with fresh fruit or a cherry before serving, if desired.""]","[""orange juice""]"
Easy Candied Cranberries,"[""12 ounces cranberries, fresh"", ""2/3 cup sugar""]","[""Preheat oven to 350 degrees F."", ""Pick over cranberries to remove any stems."", ""Toss with sugar and spread on a foil lined (or silpat lined) sheet pan."", ""Roast for 15 minutes, stirring every five minutes."", ""Cool and enjoy.""]","[""cranberries"", ""sugar""]"
Cooked Pumpkin [Native America],"[""1 fresh pumpkin""]","[""Here is the method I use to cook it: Cut the pumpkin into quarters and remove the seeds and fibers."", ""Preheat the oven to 350 degrees F. and bake the pumpkin quarters 45 minutes, until tender."", ""Remove from the oven and scrape the flesh from the skin."", ""Place in a food processor and puree."", ""Run through a sieve to remove any remaining fibers and use the pumpkin according to the recipe instructions."", ""Cooked pumpkin will keep about 1 week in a nonmetal, covered container in the refrigerator and several months in the freezer.""]","[""pumpkin""]"
Chocolate Covered Raisins,"[""1 cup raisins or 1 cup nuts"", ""chocolate, discs""]","[""melt chocolate discs in a double boiler."", ""dump in raisins"", ""stir for a while."", ""when raisins are fully covered in chocolate pour into strainer until all access chocolate is gone"", ""pour the raisins onto pan and let sit until dry"", ""eat.""]","[""raisins"", ""chocolate""]"
"Orange, Mango, & Carrot Smoothie","[""2 oranges, peeled and separated"", ""1 mango, diced"", ""2 carrots, shredded"", ""1/2 cup milk or 1/2 cup nut milk""]","[""Excluding the milk, combine all ingredients for each smoothie in a resealable bag and freeze. They can be kept in the freezer for up to 6 months!"", ""Remove from freezer and pour right into the blender along with the milk. Blend until smooth, and add more milk if needed."", ""Enjoy!""]","[""oranges"", ""mango"", ""carrots"", ""milk""]"
2 Ingredient Cookies,"[""2 bananas"", ""1 cup quick oats""]","[""Pre heat oven to 350."", ""Add bananas and oats to a bowl."", ""Mash until creamed together, I used a fork."", ""Add additional oats if needed to"", ""Should end up with a drop cookie consistency."", ""Add whatever 'add ins' you'd like but try to keep the dough moist enough to hold the cookie together."", ""Place on cookie sheet either by small dropfulls or spoon on and flatten top."", ""Bake for 12-15 mins.""]","[""bananas"", ""oats""]"
Easy Chocolate Filled Pear Tarts,"[""4 pear halves in natural juice (canned)"", ""200 g puff pastry"", ""4 tablespoons chocolate (chopped or coarsely grated)"", ""milk or beaten egg, to glaze""]","[""Roll out puff pastry to a 20cm square or use a frozen pre rolled puff pastry sheet which has been defrosted."", ""Cut into quarters."", ""Place some chocolate in centre of each square."", ""Sit a pear half cut side down firmly on top."", ""Brush with beaten egg or milk."", ""Sprinkle on a little demerara sugar for a crunchy topping if wished."", ""Bake at 220\u00b0C for 12-15 minutes until risen and golden brown."", ""Serve warm with whipped cream and/or pre made custard which has been thinned a little with some juice from the tin of pears."", ""These can also be made using peach halves and the centres filled with white chocolate.""]","[""pear"", ""pastry"", ""chocolate"", ""milk""]"
Paradise Jelly,"[""4 quarts apples or 4 quarts crabapples"", ""12 quinces"", ""2 quarts cranberries"", ""sugar""]","[""Wash fruit and remove stems and blossom ends from apples and quinces."", ""Cut in quarters, Cover with cold water and cook until tender."", ""Wash cranberries and cook in 1 quart water until tender."", ""Pour cooked fruit into a jelly bag and let drain into a bowl overnight."", ""Discard pulp, measure liquid and add an equal amount of sugar, cup for cup, and boil until the jelly sheets off the spoon (about ten minutes)."", ""Skim, pour into sterilized jelly glasses and seal.""]","[""apples"", ""cranberries"", ""sugar""]"
Kong Ambrosia,"[""1/2 cup fat free sugar free yogurt"", ""1/2 banana, sliced"", ""1 tablespoon honey"", ""1 tablespoon peanut butter""]","[""Mix no-fat sugar free plain yogurt with a tablespoon of honey."", ""Add a heaping spoon full of peanut butter and sliced bananas."", ""Wrap aluminum foil around the small end of the Classic KONG Toy and scoop the mixture into the KONG; freeze."", ""Then hand them out when your dog is in need of an exciting afternoon treat. They have to lick the KONG to warm up the frozen treats and get it out. This keeps them busy for at least 45 minutes and gives me free time knowing they won't be into other mischief. The yogurt is also great for their digestive system!""]","[""yogurt"", ""banana"", ""honey"", ""peanut butter""]"
Oven Baked Whole Cranberry-Caramel Sauce,"[""2 cups cranberries"", ""1 cup packed brown sugar""]","[""Pre-heat oven to 350 degrees."", ""Spread cranberries in a 9 inch square baking pan, sprinkle with sugar."", ""Cover and bake, stirring occasionally, for 20-25 minutes or until tender.""]","[""cranberries"", ""brown sugar""]"
In-A-Hurry Marmalade (Microwave),"[""1 orange, quartered (unpeeled)"", ""sugar""]","[""Shred orange in a food processor."", ""Measure orange in a measuring cup and then transfer to a microwave safe bowl."", ""Measure enough sugar to equal shredded orange and add sugar to bowl."", ""Microwave on medium until thickened (5-7 minutes), stirring occasionally. DO NOT OVER COOK."", ""Refrigerate until ready to use.""]","[""orange"", ""sugar""]"
Apple Stuffed Pork Roast,"[""3 -4 lbs boneless pork loin"", ""2 apples, peeled and diced"", ""1/2 cup raisins or 1/2 cup craisins"", ""prepared stuffing, homemade (4 servings)"", ""1 cup apple juice"", ""1/2 cup brown sugar""]","[""With a knife sharpener, poke a hole through the roast to make a tunnel."", ""Then take a knife and cut through until the hole is wide enough to stuff."", ""In a large bowl, mix together apple juice and brown sugar."", ""Place roast in bowl and turn a few times."", ""Let sit in fridge fat side up for about an hour."", ""In the meantime, peel and dice apples."", ""Start making stuffing, adding apples and raisins before adding the stuffing mix so they get soft."", ""Let apple stuffing cool while the pork in in the fridge."", ""Preheat oven to 350\u00b0F ."", ""Line a roasting pan with heavy duty foil."", ""Remove pork from fridge and Pour some of the marinade into the foil lined pan."", ""Just enough to coat the bottom."", ""Discard the rest."", ""Start stuffing the roast."", ""It's easiest to use your hands."", ""Make sure you stuff it way down so you don't forget the middle."", ""Bake about 20 minutes per pound - 170 degrees using a meat thermometer."", ""Remove from oven and let stand 10 minutes."", ""Carve 1 1/2 inches wide.""]","[""apples"", ""raisins"", ""apple juice"", ""brown sugar""]"
Lebanese Laban (Yogurt),"[""8 cups milk"", ""1/2 cup yogurt""]","[""Place a couple of tablespoons of the milk in a small container and stir in the yogurt to make it more liquid."", ""Bring milk to a boil. Place aside until lukewarm."", ""Stir in yogurt (don't stir too much). Cover pot with lid. Wrap pot with a wool cover. Place in a warm place for 6 hours. Be careful not to move the pot during this time."", ""Cool in refrigerator for at least 3 hours.""]","[""milk"", ""yogurt""]"
Frozen Graham Cracker Treats,"[""12 graham crackers"", ""2 bananas"", ""2 tablespoons peanut butter""]","[""Place the peanut butter and peeled bananas in a bowl, and mush them with a fork until you get a well-mixed bowl of mush."", ""Break the graham crackers in half so you have 24 squares. Set 12 aside. Line a long piece of foil with the crackers in rows of 4, 3 columns high. Using your fork, dollop on a generous amount of mush on each of the 12 squares. (The original recipe called for 8 squares for this, but there was WAY too much mush for me, so use your discretion). Cover the mushy squares with your extra 12 squares, making them into 'sandwiches'. Stack and fold your 'sandwiches' into the foil, and freeze for about 6 hours. Eat, and SAVOR."", ""Note: I'd recommend folding 1 row in the foil, then put the next row on top. When I did mine, the bottom rows got smooshed too much and froze together, and I was really careful. This may work in tupperware as well!""]","[""crackers"", ""bananas"", ""peanut butter""]"
Amaretto Punch,"[""18 -20 ounces orange juice"", ""1 (2 liter) bottle 7-Up soda"", ""1 (20 ounce) can pineapple"", ""1 cup Amaretto""]","[""Mix together and freeze.""]","[""orange juice"", ""pineapple""]"
Oatmeal And Bananas Breakfast (Baby Food),"[""1/4 cup oats"", ""1/2 1/2 cup breast milk or 1/2 cup juice"", ""1/3 cup sliced banana"", ""1/4 1/4 cup breast milk or 1/4 cup juice""]","[""Combine oats and 1/2 cup formula in a small sauce pan."", ""Bring to a boil, and simmer 5 minutes, stirring occasionally."", ""Mash banana and 1/4 cup formula with a fork."", ""Combine banana and oatmeal mixtures."", ""Serve.""]","[""oats"", ""milk"", ""banana"", ""milk""]"
Rice Penguins,"[""1 cup cooked rice"", ""5 sheets nori (dried seaweed)"", ""1 medium sized carrot""]","[""Use a large spoon or medium sized ice cream scoop to make the warm rice balls. Place the spoonful of rice on a sheet of plastic wrap. Wrap the rice with the plastic wrap and roll with your hand to create a rice ball."", ""Take a sheet of nori (dried seaweed) and fold in half. Cut a heart shape along the fold. Unfold and wrap around rice. Use plastic to set the nori around the warm rice."", ""Use the remain nori sheet and with a nori punch press to get different shapes you can use for the eyes."", ""Use the round cutters to press into slices of carrot to create the feet and beak."", ""Enjoy!""]","[""rice"", ""carrot""]"
Carrot And Cashew Milk,"[""1 big carrot"", ""10 -15 cashews"", ""3 teaspoons sugar"", ""250 ml milk (boiled and cooled)""]","[""Peel carrot and cut small pieces,"", ""Take a bowl , pour nearly 50ml milk, add carrot pieces ,cashews and sugar, cook it till the raw smell of carrots is no more."", ""Allow to cool it."", ""Take Mixer Jar (big one which usually used making juices), add cooked carrots and cashews in, it, run mixie for few minutes, so that it becomes soft, add rest of milk, run the mixie for 5 - 10 mins depending. Carrots and cashew milk ready. Staight away serve or Cool it(leave in it fridge for atleast an hr) and Serve chill."", ""Ideal for school children, when they are back from school. Healthy Drink !""]","[""carrot"", ""cashews"", ""sugar"", ""milk""]"
Raw Applesauce,"[""6 apples, peeled, cored, diced"", ""1/2 cup honey, mild flavored"", ""1/2 cup apple juice""]","[""Place all ingredients in blender or food processor."", ""Pure to desired smoothness & enjoy.""]","[""apples"", ""honey"", ""apple juice""]"
Homemade Crockpot Condensed Milk,"[""4 cups milk"", ""1 cup granulated sugar (white, brown, etc., you can even use honey, but cook it longer to make up for the extra moisture)""]","[""Combine all ingredients in crockpot and cook on high until sugar is melted."", ""Reduce heat to warm and take the lid off, or turn it sideways so that it's only half off."", ""Cook for four hours, or however long it takes to reduce by half (or more if a thicker consistency is desired)."", ""If you're not using this right away, pour into canning jars and seal, keeping in refrigerator, or measure out servings and freeze in ziploc bags.""]","[""milk"", ""sugar""]"
Dream Berry Salad,"[""2 (1 ounce) packages fat free sugar-free instant cheesecake pudding mix"", ""1 (32 ounce) container plain yogurt"", ""1 (8 ounce) container Cool Whip"", ""1 (16 ounce) bag frozen mixed berries""]","[""Combine all ingredients except berries and mix until mostly smooth. It might be a little gritty but will become super smooth after sitting in fridge."", ""Fold in Berries. (do not thaw berries)"", ""Refrigerate for at least 1 hour."", ""*****You can use whatever flavor or pudding you want. I just really like the Cheesecake. I used non-fat yogurt and lite cool whip and it was AWESOME!*****.""]","[""sugar"", ""yogurt""]"
Apple Juice-Slushie,"[""1 cup apple juice"", ""1/4 teaspoon sugar (for flavor)""]","[""first fill the cup with the apple juice."", ""freeze for about 2-2 1/2 hours or until the top is frozen but breakable with a finger."", ""poke the ice until you cant see big chunks."", ""the ice is the slushie part and there is juice also."", ""use different kinds of juice like pineapple or orange for a diffrent taste.""]","[""apple juice"", ""sugar""]"
Pumpkin Puree,"[""1 fresh pumpkin""]","[""Preheat oven to 350*F."", ""Cut pumpkin into wedge and clean out seeds and stuff."", ""Place on jelly roll pan skin side down."", ""Cook a 3 Lb. pumpkin for about 1 hour or until it's can be poked with a fork."", ""Peel or cut outer peel and put in food possess until pureed measuring the same as canned.""]","[""pumpkin""]"
High-Protein Milk,"[""1 cup milk (2%, 1%, or skim milk)"", ""1/4 cup skim powdered milk""]","[""Add skim milk powder to milk and beat until dissolved."", ""Enjoy!""]","[""milk"", ""powdered milk""]"
Concord Grape Jam,"[""3 lbs concord grapes"", ""1 1/2 cups mild flavored honey""]","[""Wash and stem grapes."", ""Place in a large stainless or enamel pot."", ""With a potato masher or wooden spoon mash grapes."", ""Bring to a gentle boil and reduce heat to an \""active\"" simmer."", ""Simmer 10 minutes-you want to be able to crush the center of grapes easily with a wooden spoon-no bouncing back."", ""Run the grapes through a food mill to remove seeds."", ""Return pulp to the saucepan."", ""Bring to a boil and stir in honey."", ""Stir often to prevent scorching."", ""After about 10 minutes you should not be able to stir down the boil."", ""Test for gel point."", ""Jelly/puree will begin to darken and thicken up."", ""This should take around 15 to 20 minutes from the boil point, but alot depends on the amount of juice your grapes are holding-you could go up to 35 minutes."", ""Ladle into clean hot sterile jars leaving 1/4 inch head space, and seal."", ""Process in a boiling water bath for 10 minutes.""]","[""grapes"", ""honey""]"
Frozen Banana Yogurt,"[""1 bananas, fresh or 1 frozen banana"", ""1 cup plain low-fat yogurt"", ""3 tablespoons honey""]","[""Slice bananas and drop in blender jar of food processor bowl. If using frozen banana, partially thaw, snip off end of skin, and squeeze directly into food processor."", ""Add remaining ingredients. Blend until smooth."", ""Freeze until mushy. Beat and pour into popsicle molds."", ""Freeze until firm. To unmold, hold in hand or let set at room temperature until mold will slide off. Enjoy.""]","[""bananas"", ""yogurt"", ""honey""]"
Lemon Grass And Ginger Iced Tea,"[""1 stalk fresh lemongrass"", ""1/2 cup sugar"", ""7 slices fresh ginger"", ""5 green tea bags""]","[""Rinse lemon grass, cut into 2-inch lengths, and crush with the flat side of a large knife."", ""In a 2-quart pan, bring 5 cups water, sugar, ginger, and lemon grass to a boil. Take off heat and add green tea bags; let steep about 4 minutes or until flavor is as strong as you like."", ""Discard tea bags; let tea cool, about 30 minutes."", ""Pour through a fine strainer into a pitcher. Cover and chill until cold, at least 2 hours. Pour into tall glasses filled with ice.""]","[""sugar"", ""ginger""]"
Marinade For London Broil,"[""1 cup pineapple juice"", ""1/3 cup soy sauce"", ""1/4 cup brown sugar"", ""1 teaspoon ginger""]","[""Marinate for two days. Broil until internal temperature reaches 120\u00b0F."", ""This is enough marinade for a 3 lb flank steak.""]","[""pineapple juice"", ""soy sauce"", ""brown sugar"", ""ginger""]"
Apricot Glaze,"[""1 cup apricot jam"", ""1/4 cup orange juice""]","[""In a small sauce pan, combine the apricot jam with the orange juice. Stir to combine."", ""Heat over medium high heat until boiling and cook for 3 minutes."", ""Strain through a fine-mesh sieve."", ""Brush tops and sides of cooled breads or cakes with glaze and allow to set.""]","[""apricot"", ""orange juice""]"
Canadian Maple Milk From Ontario,"[""1 cup ice cold milk (preferably 2%)"", ""1 -2 tablespoon pure maple syrup (or to taste)""]","[""Mix together with a handheld drink mixer so that it gets bubbly."", ""Enjoy!""]","[""milk"", ""maple syrup""]"
Amaretto Syrup,"[""1 cup maple syrup"", ""1 tablespoon Amaretto""]","[""Combine all ingredients."", ""Serve over pancakes or waffles.""]","[""maple syrup""]"
Libbies Hot Orange Juice Cold Remedy,"[""2 cups orange juice, she squeezed hers fresh i didnt"", ""2 tablespoons honey"", ""1 teaspoon ginger, jarred crushed""]","[""heat all to boiling sip.""]","[""orange juice"", ""honey"", ""ginger""]"
"""The Elvis"" Smoothie","[""1 sliced banana, frozen"", ""2 -3 tablespoons creamy natural-style peanut butter"", ""1/2 cup 2% low-fat milk (to your desired thickness)"", ""1/4 - 1/3 cup sugar-free non-fat vanilla yogurt""]","[""Place all ingredients in blender."", ""Blend until very smooth."", ""Serve immediately."", ""For a vegan smoothie, make with soy milk and soy yogurt.""]","[""banana"", ""peanut butter"", ""milk"", ""sugar""]"
Candy Corn Snack Mix,"[""1 cup candy corn"", ""1 cup M&M'"", ""1 cup salted peanuts""]","[""In a serving bowl, combine all ingredients."", ""Store in an airtight container.""]","[""corn"", ""peanuts""]"
Caramel Apple In A Bowl,"[""1 apple, diced"", ""1 tablespoon brown sugar"", ""2 tablespoons raisins"", ""2 tablespoons chopped pecans""]","[""Mix the apple with the brown sugar and let set for about 10 minutes."", ""Add the raisins and pecans and mix well to coat everything with the juice from the apples.""]","[""apple"", ""brown sugar"", ""raisins"", ""pecans""]"
Porridge With Mashed Banana,"[""50 g porridge oats"", ""300 ml 1% low-fat milk"", ""1 banana""]","[""Place the porridge oats into a saucepan."", ""Add the milk."", ""Place onto stove on medium heat."", ""Stir occasionally."", ""When boiled, take off heat."", ""Mash the banana and serve on top.""]","[""oats"", ""milk"", ""banana""]"
2 Ingredient Pizza Crust (The Slow Roasted Italian),"[""1 cup Greek yogurt"", ""1 1/2 cups self-rising flour""]","[""Combine yogurt and 1 cup flour in the bowl of an electric stand mixer. Mix until combined, scraping down the bowl as necessary until combined. Knead on medium high for 5 minutes. *see cook's note for hand mixing method."", ""Slowly add additional flour as necessary to help dough come together. Depending on how thick your yogurt is, you may need up to an extra 1/2 cup of flour. (I used the entire 1 1/2 cups)."", ""Dust clean counter top with flour and remove dough from bowl. Knead a few turns until dough is tacky, but not sticky (it should not leave dough on your hand when you pull away)."", ""Roll out and top as desired. Bake in a preheated 450 degree oven for 10-12 minutes (adjust as needed)."", ""Cook's Note: If mixing by hand combine ingredients in a bowl and mix with spoon until combined. Flip out onto a well floured counter top and knead 5-8 minutes."", ""If you do not have self-rising flour, you can substitute: 1 1/2 cups all-purpose flour, 1 1/2 teaspoons baking powder and 3/4 teaspoon salt. Mix together and use as directed in the recipe. - See more at: http://www.theslowroasteditalian.com/2014/02/2-ingredient-pizza-dough-recipe.html#sthash.eKl3O0WC.dpuf.""]","[""Greek yogurt"", ""flour""]"
Evaporated Milk,"[""1 3/4 cups whole milk"", ""2 1/4 cups whole milk""]","[""Pour 1 3/4 cups of the milk into a heavy bottomed pot."", ""Note the level of the milk in the pot, marking it if necessary (I'm not sure how, but the original instructions said to do it). This is the level the milk will be when it is finished."", ""Pour in the rest of the milk."", ""Slowly bring the milk to a boil over medium high heat, stirring frequently with a flat-bottomed utensil and scraping the bottom and sides of the pot. If the milk is scorching, reduce the heat some."", ""As soon as the milk reaches a boil, reduce the heat to the lowest possible setting."", ""Allow to simmer, scraping the bottom and sides of the pot about every six or seven minutes. If a thin skin has formed on top of the milk, remove it with a spoon before scraping and stirring."", ""When the milk has reduced to the level previously noted or marked, your milk is done."", ""Cool and refrigerate.""]","[""milk"", ""milk""]"
Spaghetti And Spam,"[""1 lb spaghetti"", ""1 can Spam"", ""1 (28 ounce) jar spaghetti sauce""]","[""Cook spaghetti according to directions on box."", ""Slice spam lengthwise into 1/2\"" x 1/2\"" wide strips."", ""Add spam to spaghetti sauce in medium saucepan and bring to boil, turn heat down and simmer for about 10 minutes or until hot."", ""Spoon over individual servings of spaghetti.""]","[""spaghetti sauce""]"
Diet Coke Cake,"[""1 (18 ounce) chocolate cake mix (I prefer a \""fudge\"" cake mix with pudding in the mix, but this recipe will work with whatever you hav)"", ""1 (12 ounce) can Diet Coke"", ""1 (8 ounce) container Cool Whip Free or (8 ounce) container Cool Whip Lite""]","[""Preheat oven to temperature on cake mix box."", ""Grease a 9x13 pan."", ""Combine cake mix and Diet Coke in large mixing bowl. Mix according to directions on box. (For example, my favorite brand says to mix at medium speed for 2 minutes!)."", ""Pour into 9x13 pan. Bake 5 minutes less than the recommended time on the box. For example, if the box says to bake a 9x13 cake for 28 minutes, bake your Diet Coke Cake for 23. Cake is done when a fork or toothpick inserted in the middle of the cake comes out clean."", ""Cool in pan on wire rack."", ""When cooled, frost with Cool Whip topping."", ""Refrigerate leftovers. (I never have any!)."", ""Enjoy!""]","[""chocolate cake""]"
Peanut Butter Porridge,"[""1 cup oats"", ""1/2 cup milk"", ""1 tablespoon peanut butter""]","[""cook oats as insturcted on packet with milk."", ""serve with peanut butter."", ""uterly divine.""]","[""oats"", ""milk"", ""peanut butter""]"
Homemade Condensed Milk 2 [Fresh Milk],"[""6 cups milk, whole, skim, nofat"", ""2 1/4 cups sugar""]","[""In heavy saucepan pour milk and bring to a boil."", ""Reduce to a simmer."", ""Cook to reduce to about 2/3 in volume, stirring occasionally.""]","[""milk"", ""sugar""]"
Chocolate-Dipped Pecans,"[""4 -6 ounces semisweet chocolate morsels (depending on how much chocolate you coat the pecans with)"", ""25 -30 pecan halves, toasted""]","[""Microwave chocolate morsels in a microwave-safe bowl on high for 1 to 1 1/2 minutes or until melted, stirring at 30-second intervals."", ""Dip half of each pecan in melted chocolate; place on a wax paper-lined baking sheet."", ""Let cool completely."", ""Store in a single layer in an airtight container for up to 2 days.""]","[""chocolate"", ""pecan""]"
Pineapple Chunk Salad,"[""3 cups canned pineapple chunks"", ""1 carrot"", ""1 cucumber"", ""1 tablespoon sugar""]","[""save the juice from canned pineapple dump in bowl with chunks"", ""mix in sugar"", ""peel and dice cucumber"", ""add to pineapple."", ""roughly grate carrot in bigger chunks."", ""add to pineapple.""]","[""pineapple"", ""carrot"", ""cucumber"", ""sugar""]"
Simple Avocado Smoothie,"[""2 avocados"", ""480 ml mango nectar (approx 2 small cans)"", ""8 -10 ice cubes"", ""1/2 teaspoon honey (optional)""]","[""Scoop out the avocado flesh and add to blender."", ""Add in the mango nectar and ice cubes."", ""Blend."", ""Add honey (optional) and then blend again."", ""Serve and Enjoy =).""]","[""avocados"", ""mango"", ""honey""]"
